Brand,Total Inventory Value 
Vargas-Short,125970.0
Hopkins-Potter,590548.0
Fisher Group,610844.0
Atkins-Fuller,354816.0
Castro-Salazar,67800.0
Murillo Ltd,123872.0
Little LLC,461216.0
"Carpenter, Salas and Peck",618969.0
"Cantu, Huang and Jenkins",356511.0
"Golden, Dickson and Foley",205088.0
"Vaughan, Moss and Estes",127556.0
"Francis, Vang and Russo",394383.0
Glass and Sons,235106.0
"Ochoa, Munoz and Smith",174828.0
Stokes Group,197112.0
"Vazquez, Maddox and Escobar",213382.0
Decker Ltd,608716.0
Farley-Escobar,10296.0
"Leblanc, Duncan and Sloan",560000.0
Harrison-Sandoval,23920.0
Meza LLC,687597.0
"Barajas, Williamson and Snow",750986.0
"Stewart, Berry and Myers",138168.0
Mcmahon PLC,543804.0
Shannon and Sons,727722.0
Rivers and Sons,48544.0
Mullen-Cantu,282000.0
"Koch, Anthony and Barrera",32289.0
Nunez-Wolf,31598.0
"Malone, Rivera and Hensley",356664.0
"Kirk, Bailey and Mann",233929.0
Bullock and Sons,146960.0
Hess Inc,63336.0
Deleon Group,224636.0
"Swanson, Schwartz and Pena",16796.0
Webb-Atkinson,431355.0
"Landry, Norman and Monroe",255387.0
Stanton Inc,705576.0
"Terrell, Kirk and Conley",83790.0
Ferrell-Holt,280830.0
Riggs-Lozano,36160.0
Pugh PLC,268778.0
"Daugherty, Martin and Bowers",518723.0
Liu-Owen,488471.0
Lambert Ltd,660464.0
Walls-Mccarthy,26152.0
Patterson-Gardner,17000.0
Bush LLC,89784.0
Noble-Foley,146583.0
"Figueroa, Obrien and Cantu",385614.0
Moran Group,532992.0
Brandt PLC,595797.0
Fry-Simpson,35604.0
Erickson Group,848002.0
Dickson-Gallegos,204440.0
Macias LLC,22260.0
Savage-Crawford,147126.0
"Knox, Sullivan and Conrad",538125.0
Davies-Palmer,323950.0
Rasmussen-Fitzpatrick,140781.0
"Morton, Gill and Hurley",716696.0
Orr-Stevens,70056.0
"Colon, Madden and Diaz",225544.0
Estes Inc,203456.0
"Montes, Merritt and Guerra",208683.0
Chase Ltd,92730.0
"Meadows, Morton and Higgins",233772.0
"Hickman, Faulkner and Oconnor",177353.0
Reeves Group,228420.0
Chung and Sons,277146.0
Ponce-Washington,462257.0
Kidd-Erickson,658296.0
Dorsey Group,67840.0
Adkins LLC,142135.0
Jefferson-Reeves,924075.0
Watkins Ltd,611515.0
Ford Ltd,451596.0
"Hendrix, Silva and Randall",110175.0
Collier LLC,582256.0
Bean-Huerta,2496.0
Bartlett Group,332685.0
"Rangel, Simpson and Norton",214176.0
Manning-Key,520308.0
Frazier and Sons,67387.0
"Galloway, Parrish and Hill",335445.0
Cole-Love,66708.0
Boyle-Blevins,226560.0
"Romero, Carey and Gamble",13851.0
Harmon-Garrett,432705.0
"Reynolds, Charles and Donovan",277746.0
Moon-Warren,50386.0
Davies-Rush,232404.0
"Woodward, Horn and Burgess",475065.0
Cooper-Cole,693100.0
"Ayers, Strickland and Curry",49972.0
Mathews-Coleman,24338.0
Zamora-Armstrong,39678.0
Gentry Inc,181248.0
Lutz Inc,176384.0
Fischer LLC,13325.0
Nunez-Charles,114400.0
Palmer Ltd,8700.0
Drake and Sons,48880.0
"Watts, Weiss and Barry",317152.0
Abbott Ltd,67640.0
"Hoover, Meza and Booker",71262.0
"Irwin, Hess and Wagner",172200.0
"Morrow, Fritz and Wright",211165.0
Bates Inc,1021046.0
Mcneil Group,108486.0
Kirk-Dawson,446586.0
"Acosta, Nelson and Sellers",6136.0
Miller-Haynes,76820.0
"Watkins, Parks and Kane",88621.0
Kemp and Sons,534599.0
"Daniels, Harvey and Wells",156285.0
Fisher-Solis,261320.0
"Herrera, Shelton and Williams",71110.0
Cain Inc,758589.0
Figueroa Group,192432.0
Walker-Shields,150954.0
Faulkner Ltd,50020.0
"Key, Soto and Garrett",7480.0
"Dudley, Bender and Velasquez",328856.0
Hart-Carey,281160.0
"Holt, Pineda and Ewing",253365.0
Leon Group,209385.0
Shea Inc,360284.0
"Peck, Mack and Fitzpatrick",315250.0
Alvarez LLC,23280.0
Nguyen Group,272646.0
"Kane, Price and Mcclure",30690.0
Hutchinson-Romero,66504.0
"Frost, Pruitt and Kerr",552885.0
Hicks-Pham,372372.0
Mcpherson-Cortez,36477.0
Tapia-Kemp,720806.0
Patterson LLC,120407.0
Dudley Ltd,410012.0
Baxter-Pena,126684.0
"Berry, Baldwin and Lloyd",832416.0
"Medina, Munoz and Glenn",117342.0
Black Ltd,380378.0
Pittman and Sons,138908.0
"Avila, Roach and Snow",530185.0
Howell PLC,144604.0
"Gutierrez, Sweeney and Turner",410930.0
Collier-Cline,424461.0
Russo Group,593216.0
Duarte PLC,2191.0
Nolan-Meadows,441168.0
Bartlett-Campbell,804468.0
"Donovan, Guerra and Nolan",49686.0
"Oliver, Cooley and Cooke",14952.0
"Weber, Castillo and Mcintyre",364572.0
Goodman-Suarez,676386.0
Mann LLC,288990.0
"Mcdonald, Bradley and Downs",102339.0
Decker PLC,46545.0
Snow-Dyer,601496.0
English Group,80290.0
Leach-Bass,619418.0
Floyd Group,693056.0
Mayer LLC,854655.0
Flynn Group,93620.0
Moyer-Morgan,227304.0
Barrett-Frazier,672.0
"Lucas, Richard and Pruitt",536703.0
Valentine-Horton,64672.0
Garcia Group,137454.0
Santos-Kelly,793250.0
Booth and Sons,563152.0
Velasquez-Beck,254760.0
"Fitzpatrick, Collier and Levy",430304.0
Gonzalez Ltd,336930.0
Booker Group,653420.0
Curry-Moses,73226.0
Cantrell-Petty,42303.0
Shaffer LLC,63550.0
Walker Group,58195.0
"Sherman, Kaiser and Morrison",585808.0
Carpenter Ltd,222552.0
"Newman, Jackson and Boyer",155480.0
Parker-Kaiser,526176.0
Wolfe-Oliver,4560.0
Whitney and Sons,1123846.0
"Rose, Ruiz and Collins",99990.0
Perkins Inc,311257.0
Anthony Group,655650.0
"Wright, Peters and Wood",234192.0
"Bishop, Nichols and Rich",414498.0
"Myers, Holland and Chung",293301.0
"Bauer, Rosario and Powers",56335.0
Mcdowell and Sons,202530.0
Wu-Cochran,314976.0
Garrett Ltd,1352718.0
Contreras-Cox,215670.0
"Richardson, Buckley and Kane",156032.0
Dodson-Reese,733212.0
Bean Group,73139.0
Blevins-Barber,79065.0
"Hayden, Day and Alvarez",478002.0
Fowler Group,505812.0
Benton-Schmidt,516264.0
"Meyer, Bautista and Wade",130752.0
Avery LLC,294790.0
"Branch, Kemp and Moran",172161.0
Hahn Group,236520.0
Maldonado Group,786464.0
Petersen-Mosley,418704.0
"Valentine, Conner and Atkins",122248.0
"Bullock, Michael and Gill",412800.0
Floyd-Sellers,1276.0
Soto Group,52140.0
"Patterson, Dougherty and Chase",137275.0
Mathews-Washington,71295.0
"Goodman, Butler and Walter",198648.0
Flores LLC,647727.0
Bishop-Morales,42750.0
Martin-Price,17271.0
"Pearson, Duffy and Hart",43680.0
"Rivera, Massey and Frye",257210.0
"Oconnell, Norris and Harper",24130.0
Nunez-Kerr,29670.0
Zamora-Valentine,44880.0
"Craig, Daniel and Robbins",236504.0
Hebert LLC,189200.0
Ibarra Ltd,13200.0
Nelson-Oconnor,40528.0
Haney-Smith,36421.0
Tate-Osborne,9540.0
Ramsey-Dunn,104520.0
Brown-Delgado,118524.0
"Shaw, Richards and Dunn",429652.0
"Payne, Powell and Lamb",270.0
"Hoffman, Tate and Hinton",519044.0
Taylor-Shannon,58800.0
Diaz PLC,387729.0
Kemp Inc,170114.0
Gould-Montgomery,1360.0
Simmons PLC,33129.0
"Santana, Tyler and Kane",459486.0
"Gonzales, Atkins and Zhang",146769.0
"Sellers, Castillo and Tanner",713814.0
"Rogers, Glenn and Webb",264044.0
Hooper-Smith,601524.0
Zuniga Group,98644.0
Krueger Ltd,106140.0
Mcgrath-Green,298767.0
"Price, Mills and Esparza",15106.0
"Tanner, Guzman and Werner",11856.0
Campos-Key,90740.0
Ramirez and Sons,31600.0
Ford PLC,187769.0
Huber and Sons,70215.0
"Vance, Garrett and Choi",210240.0
Gonzales-Daniel,32436.0
Frederick PLC,495474.0
Galloway-Ingram,129960.0
Chandler PLC,286501.0
"Russell, Woods and Davis",26280.0
"Hernandez, Bond and Burke",174028.0
Sims-Moss,368440.0
"Moran, Brady and Klein",470418.0
"Collier, Salas and Webster",169806.0
Wiggins-Estes,58707.0
"Hines, Tyler and Leblanc",76558.0
"Stafford, Solis and Logan",107439.0
Warner Group,114879.0
"Herring, Becker and Powell",238728.0
"Reilly, Novak and Barnett",143620.0
Schaefer LLC,441496.0
"Hinton, Hester and Weaver",180752.0
Fitzgerald PLC,622666.0
"Robles, Hudson and Collins",72216.0
Sparks-Yang,372.0
"Morales, Ford and Bernard",563745.0
"Richmond, Gonzalez and Wilcox",111320.0
Pineda Inc,333107.0
"Moore, Park and Lozano",248346.0
Young-Sellers,26852.0
Blackwell Group,360400.0
Schaefer-Blevins,341050.0
"Lawson, Galvan and Holder",680400.0
"Gonzalez, Mendoza and Doyle",113735.0
Jefferson-Davidson,711475.0
Pollard Inc,933735.0
"Mclaughlin, Benton and Cline",14238.0
Richard PLC,61880.0
Douglas-Mosley,212544.0
Sexton Inc,17171.0
"Key, Ashley and Fields",49192.0
Todd LLC,535275.0
Mays-Figueroa,409932.0
Mccann and Sons,51516.0
Miranda Group,259608.0
Miles Group,18144.0
Meyers and Sons,12696.0
Chambers-Kemp,97552.0
"Mahoney, Deleon and Bautista",239014.0
Mitchell-Hutchinson,187704.0
"Cordova, Ballard and Bryant",589855.0
"Jefferson, Foster and David",603435.0
"Flowers, Davis and Pierce",569562.0
Lester Ltd,801493.0
Frye and Sons,4242.0
Perkins and Sons,231936.0
Jenkins-Oconnell,378621.0
Randall Inc,21386.0
Salinas-Palmer,141052.0
Frank Group,503762.0
"Lucero, Duke and Gregory",85892.0
Hardin PLC,162896.0
Haley and Sons,42026.0
Bradshaw Inc,10185.0
Moran-Hart,74655.0
Herring PLC,201231.0
Hines-Valentine,226570.0
Rodgers-Lester,35712.0
"Bruce, Warren and Rodgers",627405.0
Hunter-Trujillo,7544.0
Stein-Hahn,80956.0
Garner-Atkins,25860.0
Mccall-Miles,67456.0
Galloway-Bridges,448581.0
"Snow, Petty and Levine",520862.0
Rose-Haas,729800.0
Cooper Ltd,593880.0
Bryant PLC,48327.0
Baker LLC,830830.0
Holloway Group,86336.0
"Gates, Rice and Foley",423262.0
Berger LLC,73414.0
Zuniga-Mcpherson,111435.0
Mckinney-Berry,116250.0
Walter PLC,375441.0
"Cuevas, Koch and Lawson",796740.0
Case-Mathis,874.0
Quinn-Hale,162261.0
Harrington-Lyons,41503.0
"Steele, Blake and Mueller",7896.0
Douglas-Patel,50898.0
Mccullough Ltd,35432.0
"Copeland, Morrow and Snyder",7668.0
"Fry, Galvan and Brock",790830.0
Reeves PLC,1018498.0
Goodwin LLC,24153.0
Gilmore LLC,527629.0
Collier PLC,233331.0
"Gonzales, Gaines and Gilmore",13946.0
Good LLC,340740.0
George Group,560994.0
Glenn Group,132650.0
"Hamilton, Acevedo and Mcpherson",98548.0
Booker-Costa,172125.0
"Mendoza, Rice and Randall",514786.0
Morrow Inc,145462.0
Durham LLC,102090.0
"Singh, Steele and Hines",135952.0
"Jensen, Barton and Ibarra",472648.0
Joseph-Massey,93951.0
Huffman Group,233236.0
"Beasley, Kaiser and Suarez",57624.0
Valentine Inc,710572.0
"Guerra, Kane and Flynn",111987.0
Humphrey-Booth,32000.0
Hampton-Rosario,419580.0
"Estrada, Howell and Colon",259920.0
Nunez Ltd,1263890.0
"Henry, Carroll and Colon",108385.0
Dickerson-Navarro,418543.0
Waters Inc,537834.0
Chan LLC,136247.0
Blankenship-Decker,218316.0
Gilmore Group,669372.0
Jensen LLC,1055118.0
"Griffith, Randolph and Gould",241032.0
Houston-Velazquez,501081.0
Thornton Ltd,151731.0
King-Shah,17215.0
"Herman, Adams and Valenzuela",755456.0
Hamilton Ltd,116688.0
Walsh Group,10201.0
Branch and Sons,184340.0
Cameron Group,395519.0
Foley-Andrews,190080.0
Parrish-Jarvis,720998.0
"Brock, Fleming and Powell",666210.0
Martin-Cohen,28886.0
Serrano-Hull,868756.0
"Lam, Serrano and Guerrero",543752.0
Moyer-Padilla,607431.0
Richardson-Moreno,312374.0
"Bright, Fitzpatrick and Hensley",307739.0
Swanson-Schmitt,317677.0
Fry-Clayton,128154.0
Peters-Lang,161355.0
Scott LLC,240828.0
"Jordan, May and Maxwell",234526.0
Erickson-Pitts,103290.0
"Michael, Briggs and Hogan",949144.0
Fletcher PLC,42160.0
"Compton, Fisher and Knight",359196.0
Summers Ltd,160783.0
Weeks-Boyle,12296.0
Savage-Allison,509925.0
Fisher PLC,333842.0
Clark Ltd,553560.0
Shannon Ltd,1525100.0
"Ramirez, King and Henry",457976.0
"Crane, Williamson and Gutierrez",529470.0
"Santos, Cervantes and Duke",32121.0
Mcguire PLC,7320.0
"Castillo, Leonard and Ortega",72624.0
Rowland-Chandler,147894.0
Preston-Hess,101972.0
Williamson LLC,1467800.0
Bell-Yu,146029.0
Aguilar Ltd,276710.0
Miranda-Bradley,510040.0
Liu Group,247086.0
Mcknight Inc,665916.0
"French, Lawson and Page",133280.0
Thornton-Wang,6371.0
"Campos, Reilly and Salazar",15520.0
Cohen Ltd,526386.0
"Evans, Wall and Acevedo",138824.0
Long-Higgins,36058.0
Carlson and Sons,587934.0
"Sosa, Byrd and Humphrey",257040.0
Hubbard-Campbell,416990.0
Lawson-Choi,296907.0
"Ross, Stanton and Pratt",196885.0
Kramer-Lang,181293.0
"Byrd, Barr and Hooper",77268.0
Ritter-Zamora,118038.0
Marsh LLC,637698.0
Williams PLC,10222.0
Peterson-Oliver,543400.0
"Reynolds, Conley and Sanford",293488.0
Tanner-Bolton,145248.0
Velasquez and Sons,563845.0
"Nixon, English and Travis",161102.0
"Harding, Thompson and Bowers",78672.0
Todd PLC,371712.0
Sawyer-Mayo,16974.0
Shaw-Johns,5776.0
Becker Ltd,160271.0
Bright LLC,344168.0
"Herrera, Shea and Bradley",146250.0
"Haney, Anthony and Ortiz",49914.0
"Bass, York and Cooke",253500.0
Hart Group,400221.0
Castro LLC,268710.0
"Hernandez, Pollard and Salinas",7891.0
Grimes-Petty,252582.0
Middleton-Tyler,236138.0
"Rubio, Kelley and Obrien",209502.0
"Booth, Mitchell and Mullins",31725.0
Cisneros-Moreno,100992.0
"Fritz, Nelson and Proctor",109289.0
Novak-Cline,92480.0
Mitchell-Graves,58917.0
"Wheeler, Murphy and Cook",65700.0
Baker-Rose,167320.0
"Dorsey, May and Figueroa",2023.0
"Mcguire, Conner and Ross",247104.0
Wheeler Ltd,840.0
"Elliott, Flowers and Ruiz",172341.0
Sandoval-Lambert,911296.0
"Walton, Olson and Garza",19257.0
Livingston LLC,1257884.0
"Woodard, Diaz and Marshall",122460.0
Boone-Maxwell,580932.0
Villegas PLC,56994.0
Erickson-Goodman,98208.0
"Brooks, Foster and Rose",364219.0
Brewer-Maldonado,349848.0
"Mueller, Mcgrath and Levine",567508.0
"Levy, Savage and Patrick",64929.0
Flowers and Sons,24752.0
Hansen-Gilmore,9690.0
"Hull, Barrera and Richards",453948.0
Calhoun-Dalton,469044.0
"Dixon, Dougherty and Calhoun",463890.0
Harding PLC,247032.0
Cherry Group,243522.0
Perkins Ltd,525036.0
Saunders PLC,345591.0
Sutton Inc,294723.0
"Stout, Mcclure and Booth",666022.0
Hampton-Oliver,438256.0
Torres Group,381060.0
Combs PLC,429886.0
Durham-Mccarthy,96672.0
Dennis PLC,525156.0
"Maldonado, Savage and Bullock",339216.0
Salas-Vaughn,93314.0
"Stokes, Lopez and Rich",213710.0
Garrett-Hoffman,41899.0
Potter-Blankenship,301224.0
Pham Inc,16992.0
Navarro-Good,219011.0
Lawson LLC,29187.0
Arellano-Hinton,664224.0
"Waller, Barron and Copeland",172260.0
Nixon-Huerta,325352.0
Everett-Wallace,11664.0
Torres-Lin,67914.0
Deleon-Crane,411312.0
"Fowler, Browning and Schmitt",5889.0
"Gillespie, Humphrey and Garner",130130.0
Kirby Group,228625.0
Norton Group,91044.0
Christensen-Bautista,186120.0
"Lawson, Wall and Ali",101924.0
Gallagher and Sons,125120.0
Mathews and Sons,604302.0
"Reyes, Humphrey and Greer",49536.0
Curtis and Sons,243200.0
Lynch-Hicks,126280.0
"Goodman, Fritz and Shaw",17264.0
Peck Ltd,99132.0
Webster and Sons,65920.0
Randolph-Sanford,426854.0
Blanchard-Vega,160716.0
"Meyers, Burton and Kaiser",213081.0
Savage and Sons,1211165.0
Lyons-Greer,242823.0
Butler Inc,165986.0
Aguilar-Shaw,504737.0
Shea-Griffith,85542.0
Montgomery-Gregory,6674.0
"Molina, Velez and Donovan",35422.0
Horne-Hamilton,666648.0
Middleton-Dunn,63595.0
"Bryant, Stanley and Webb",31179.0
Vaughn and Sons,1076191.0
Mckay Group,341292.0
"Campos, May and Hull",427316.0
Tapia Group,33034.0
Wagner-Carter,54136.0
"Hebert, Case and Boyd",161690.0
"Myers, Silva and Mckee",194161.0
Crawford and Sons,589422.0
Holland LLC,608959.0
Zhang Ltd,6704.0
"Padilla, Hoffman and Roach",674008.0
Brennan PLC,160050.0
"Pennington, Allen and Lynch",78200.0
Peterson Group,93067.0
Stone-Weeks,152583.0
"Daugherty, Reynolds and Wilkinson",663480.0
"Beltran, Parsons and Ferrell",392022.0
Conley Group,623000.0
Gilbert-Mahoney,314706.0
Soto-Alexander,336896.0
"Olson, Bishop and Chung",361620.0
"Mckenzie, Bird and Mcguire",902059.0
Trevino LLC,64516.0
"Weber, Nolan and Macdonald",15030.0
Madden-Mcneil,79764.0
Bonilla and Sons,430846.0
"Roach, Watson and Vance",271590.0
"Morris, Liu and Moss",9760.0
Cantu-Harmon,56475.0
"Sparks, Beltran and Dickson",35828.0
Mclean and Sons,844084.0
Rasmussen-Kaiser,197577.0
Shepherd Ltd,246500.0
"Lowery, Rubio and Blevins",77971.0
Spears and Sons,546618.0
"Monroe, Morris and Day",60750.0
Olson LLC,610876.0
Blackwell-Maldonado,258981.0
"Chavez, Black and Delacruz",15918.0
"King, Stewart and Bowman",9936.0
"Grimes, Ray and Wilcox",601920.0
"Dorsey, Gentry and Hughes",26894.0
Gilmore-Lozano,127652.0
Parks LLC,202356.0
Ware-Baird,443996.0
Obrien LLC,35280.0
"Jacobs, Phelps and Dorsey",136479.0
Fox-Lyons,6293.0
"Moses, Bautista and Rhodes",143220.0
Esparza-Banks,7194.0
"Sawyer, Galvan and Combs",5400.0
Snyder-Martinez,365844.0
"Gordon, Adkins and Wade",289080.0
Sanford-Moyer,35358.0
Kennedy PLC,1021770.0
Bowman Inc,341940.0
"Parsons, Roy and Li",273125.0
Levy Group,109010.0
Rivas-Heath,674005.0
Mccann Inc,343106.0
Mata Ltd,99336.0
"Hood, Shaffer and Archer",62694.0
"Proctor, Caldwell and Bond",105066.0
"Silva, Jordan and Mccarthy",60300.0
Keith LLC,709488.0
Weaver and Sons,234900.0
Foster-Travis,782280.0
"Steele, Meza and Barr",79500.0
"Kidd, Cannon and Wagner",95424.0
Harrington-Douglas,440680.0
"Velez, Wiley and Perkins",492936.0
"Escobar, Moody and Rosales",42136.0
"Walls, Chan and Cummings",470592.0
Steele-Reed,114208.0
Boyle-Patel,98093.0
Aguilar and Sons,260710.0
Stark-Nash,7470.0
Kaiser Group,94335.0
"Norris, Middleton and Ware",408985.0
"Brady, Carroll and Hoffman",229796.0
Mcneil PLC,380016.0
Fox-Joyce,25543.0
Pollard-Ramsey,204540.0
Macdonald-Church,623712.0
Walker-Walls,327888.0
Watkins LLC,60415.0
Baird Group,553623.0
Monroe and Sons,85925.0
"Young, Harvey and Hebert",146328.0
"Malone, Whitaker and Munoz",207388.0
Harmon Group,331946.0
Carney-Erickson,55754.0
"Boone, Cox and Morgan",92400.0
Hester PLC,288486.0
"Mcdonald, Carlson and Velez",170820.0
Stevenson and Sons,5247.0
Brewer-Travis,3828.0
Wiley-Duke,206625.0
Sanders-Sexton,278882.0
Chandler-Conley,742720.0
"Marquez, Gray and Rogers",294060.0
"Logan, Pierce and Whitaker",146169.0
Huffman-Hines,12654.0
Marshall and Sons,344160.0
Burns-Pruitt,247456.0
"Maldonado, Molina and Marsh",157156.0
Hart PLC,57510.0
Hunt-Li,220443.0
Cardenas-Edwards,436728.0
"Avila, Greene and Holland",105374.0
"Haney, Houston and Schroeder",108171.0
Hines Group,71148.0
"Moody, Mcclain and Bailey",24786.0
Medina and Sons,374374.0
Durham Ltd,11270.0
Chen LLC,599533.0
Terry Inc,288288.0
Davidson-Vance,790209.0
Bell-Cameron,223080.0
Todd Ltd,29422.0
"Chang, Petersen and Shaffer",552365.0
Goodman LLC,603822.0
"Valdez, Conner and Patel",163494.0
Barajas-Malone,219730.0
Meadows Ltd,683375.0
Pennington-Stuart,136026.0
"Winters, Beasley and Hays",717600.0
Ingram Group,1021284.0
Cortez Inc,638605.0
Jackson PLC,286627.0
Good-Howe,835035.0
"Tran, Douglas and Lin",546158.0
Foley LLC,327936.0
Cox-Rice,142758.0
Mclaughlin LLC,431490.0
Mcclure-Diaz,41052.0
Davenport-Jacobson,1630.0
Murray Inc,951672.0
Ingram-Tyler,95697.0
"Fuller, Yates and Holland",658107.0
Rasmussen and Sons,129675.0
Moran Inc,14140.0
"Rivers, Herring and Nunez",324520.0
"Larson, Martin and Schneider",353232.0
Friedman Inc,840626.0
Vaughan Inc,166870.0
"Norman, Burns and Navarro",279720.0
Marsh Ltd,11584.0
"Marquez, Castillo and Whitney",836.0
Dunn-Proctor,87165.0
Bentley-Ray,456454.0
"Meza, Cummings and Galloway",208456.0
Knapp LLC,166992.0
Sims-Yates,116336.0
Diaz LLC,292920.0
Wong-Adams,109214.0
"Stanton, Cuevas and Case",338360.0
"Norman, Trevino and Prince",29667.0
Lowe Ltd,267800.0
Giles Inc,465328.0
Neal-Pierce,454480.0
Hawkins and Sons,32017.0
Stuart Inc,158940.0
King-York,265650.0
"Mccullough, Stone and Davis",16992.0
Shaffer Inc,122850.0
"Valencia, Brown and Ramsey",49468.0
Reyes-Stout,702210.0
Brown and Sons,3564.0
"Shields, Hart and Crosby",487060.0
Parks-Hampton,134068.0
Osborn Ltd,142593.0
Short-Gonzalez,397068.0
"Herman, Mckay and Petty",258512.0
"Holder, Guzman and Mckay",147549.0
Vargas-Mcpherson,86721.0
Simpson-Mckenzie,110532.0
"Holder, Stark and Montoya",529543.0
Shepard-Shaw,621560.0
"Stanley, Guerrero and Berger",20068.0
"Maynard, Fletcher and Gregory",737616.0
Shelton Ltd,555450.0
"Hoover, Mckay and Downs",398145.0
Pena Ltd,339132.0
Robles Ltd,465660.0
Garrison LLC,78540.0
Lowe-Cowan,9727.0
Moss and Sons,176754.0
Callahan-Gomez,63501.0
Clark Group,130380.0
"Ali, Roberts and Singh",603965.0
"Benjamin, Golden and Bean",445560.0
"Hunter, Hensley and Sampson",148596.0
"Blair, Wong and Roth",497467.0
Howell Ltd,399006.0
Perry-Bradley,62828.0
Rasmussen Inc,359799.0
"Wilkinson, Haynes and Camacho",169050.0
"Collier, Mercer and Hanson",11830.0
Chaney LLC,103683.0
Bruce PLC,254395.0
"Jones, Reed and Ayers",58869.0
Sandoval-Gay,303312.0
Newton-Combs,198950.0
Leonard-Hurst,180383.0
"Coffey, Villarreal and Lawson",24973.0
"Monroe, Swanson and Cook",110110.0
Savage-Wallace,234668.0
"Walters, Bautista and Fitzgerald",11088.0
Carson-Austin,60166.0
Kelly-Brady,24079.0
Frank LLC,8918.0
Hodges and Sons,188754.0
West Group,85212.0
Wells-Gross,38150.0
Mendez-Meyer,62496.0
"Mcdaniel, Herman and Kane",386631.0
Buck-Mckay,334866.0
Brennan Ltd,122760.0
"Bradshaw, Kaufman and York",176092.0
Serrano-Sexton,17710.0
"Erickson, Price and Singleton",26280.0
Hurst Ltd,5726.0
Key-Turner,50685.0
Lawson-Mendez,13530.0
May and Sons,225044.0
Baird LLC,126546.0
Houston-Blanchard,301278.0
"May, Pearson and Greene",43120.0
Dominguez-Washington,10160.0
"Mooney, Bass and Fitzgerald",1234.0
Petersen-Collier,10373.0
Hubbard-Hogan,255976.0
"Benitez, Koch and Mccann",333305.0
Wilcox Inc,993812.0
Small-Barton,143612.0
Moyer Inc,187916.0
Beck and Sons,446682.0
Morton-Lozano,125704.0
"Drake, May and Howard",275086.0
"Lin, Koch and Davenport",12470.0
Zimmerman-Rosales,31944.0
Black-Atkins,364311.0
"Mcmillan, Ramos and Stephens",236964.0
"Mora, Mata and Stanley",530880.0
"Estes, Griffin and Love",246943.0
Stuart-Page,214380.0
"Solis, Lopez and Berger",207426.0
Archer-Church,157974.0
Gamble-Burch,27540.0
Harding Ltd,637054.0
Horne-Rowe,255640.0
"Ryan, Powers and Hayes",94976.0
Berger PLC,287232.0
Duarte Inc,906431.0
Hayes-Deleon,91044.0
"Wilkins, Franco and Hanson",371712.0
Wolfe-Kirby,762858.0
"Brady, Franklin and Sampson",465115.0
"Ellison, Hudson and Munoz",43542.0
Williams-Moyer,24420.0
Mayo Group,811426.0
Villegas-Zhang,6384.0
"Mullins, King and Sanchez",3024.0
Lang-Peters,170765.0
Bruce-Barr,3904.0
"Whitehead, Garcia and Miles",462938.0
Moon Inc,587835.0
"Daniel, Zuniga and Church",303810.0
York Inc,268965.0
Mooney-Proctor,487674.0
Stout-Tran,265500.0
"Beltran, Vasquez and Riley",300272.0
"Hess, Johnston and Barnes",16170.0
"Warren, Hodge and Bernard",52992.0
Barnes-Gonzales,25172.0
"Williamson, Soto and Kim",21170.0
Grant LLC,289905.0
Levine Inc,203904.0
Vang-Glover,60500.0
"Mckenzie, Chaney and Mccarthy",136900.0
Bernard LLC,42395.0
Chan-Nixon,200000.0
"Torres, Cannon and Cherry",47600.0
"Holland, Hensley and Cummings",9646.0
Costa Ltd,38258.0
Lynn Inc,202101.0
"Barry, Ochoa and Vaughan",40015.0
Wallace Ltd,309488.0
"Townsend, Santos and Shepherd",88296.0
Giles-Benton,12832.0
"Quinn, Ray and Mckay",191815.0
"Murray, Duran and Werner",25885.0
Love-Hunt,143577.0
"Li, Silva and Dean",485550.0
Mckenzie-Tran,58800.0
Atkinson-Simmons,90522.0
Meza-Fuller,563981.0
Sweeney Group,207693.0
Torres Inc,20440.0
Dawson LLC,322665.0
Lutz and Sons,479206.0
Figueroa and Sons,153306.0
Benton and Sons,806379.0
Leon-Lawson,335685.0
Bonilla-Shelton,19614.0
"Elliott, Salas and Luna",277326.0
Reeves LLC,852144.0
Adkins-Tucker,304440.0
Hart Inc,787146.0
Booth-Brennan,758862.0
Stanley-Goodman,141036.0
"Hutchinson, Adkins and Ponce",370470.0
"Pitts, Yang and Trujillo",219032.0
Sutton-Henderson,72651.0
"Gay, Norris and Chambers",228468.0
Stephens-Carr,364468.0
"Solis, Pena and Robbins",99756.0
Hurst PLC,444564.0
"David, Chambers and Patterson",83877.0
French and Sons,26076.0
Dean Inc,371950.0
Underwood-Garner,45423.0
"Lindsey, Bond and Finley",377982.0
Rose Ltd,641649.0
Lamb Inc,481538.0
"Hanna, Hodges and Lester",107.0
Berger Ltd,611020.0
Bridges Ltd,338055.0
"Oneill, Alexander and Moran",286224.0
Alvarez Inc,731007.0
Bender-Brandt,168479.0
Santiago Ltd,672600.0
Richardson-Wade,79981.0
Spence LLC,277610.0
Mays-Hahn,29100.0
Phillips-Bentley,354687.0
"Livingston, Crane and Hunter",245197.0
Montgomery-Sheppard,438993.0
Callahan PLC,389895.0
Medina-Woodward,581823.0
Wolfe-Daugherty,88776.0
Sweeney Ltd,525224.0
Ferguson-Scott,343938.0
"Chaney, Callahan and Palmer",323102.0
"Peterson, Hicks and Sanford",2052.0
