Brand,Average Price 
"Levy, Savage and Patrick",941.0
Flowers and Sons,26.0
Hansen-Gilmore,19.0
"Hull, Barrera and Richards",836.0
Calhoun-Dalton,774.0
"Dixon, Dougherty and Calhoun",658.0
Harding PLC,846.0
Cherry Group,489.0
Perkins Ltd,279.5
Saunders PLC,423.0
Sutton Inc,687.0
"Stout, Mcclure and Booth",842.0
Hampton-Oliver,728.0
Torres Group,438.0
Combs PLC,421.0
Durham-Mccarthy,228.0
Dennis PLC,642.0
"Maldonado, Savage and Bullock",592.0
Salas-Vaughn,194.0
"Stokes, Lopez and Rich",710.0
Garrett-Hoffman,293.0
Potter-Blankenship,489.0
Pham Inc,354.0
Navarro-Good,221.0
Lawson LLC,141.0
Arellano-Hinton,888.0
"Waller, Barron and Copeland",330.0
Nixon-Huerta,536.0
Everett-Wallace,144.0
Torres-Lin,343.0
Deleon-Crane,492.0
"Fowler, Browning and Schmitt",39.0
"Gillespie, Humphrey and Garner",770.0
Kirby Group,295.0
Norton Group,324.0
Christensen-Bautista,396.0
"Lawson, Wall and Ali",614.0
Gallagher and Sons,368.0
Mathews and Sons,597.0
"Reyes, Humphrey and Greer",128.0
Curtis and Sons,475.0
Lynch-Hicks,820.0
"Goodman, Fritz and Shaw",166.0
Peck Ltd,132.0
Webster and Sons,80.0
Randolph-Sanford,893.0
Blanchard-Vega,227.0
"Meyers, Burton and Kaiser",363.0
Savage and Sons,652.3333333333334
Lyons-Greer,373.0
Butler Inc,557.0
Aguilar-Shaw,683.0
Shea-Griffith,269.0
Montgomery-Gregory,94.0
"Molina, Velez and Donovan",398.0
Horne-Hamilton,846.0
Middleton-Dunn,161.0
"Bryant, Stanley and Webb",547.0
Vaughn and Sons,506.3333333333333
Mckay Group,717.0
"Campos, May and Hull",674.0
Tapia Group,166.0
Wagner-Carter,404.0
"Hebert, Case and Boyd",874.0
"Myers, Silva and Mckee",209.0
Crawford and Sons,949.5
Holland LLC,628.5
Zhang Ltd,419.0
"Padilla, Hoffman and Roach",692.0
Brennan PLC,291.0
"Pennington, Allen and Lynch",340.0
Peterson Group,396.5
Stone-Weeks,543.0
"Daugherty, Reynolds and Wilkinson",855.0
"Beltran, Parsons and Ferrell",522.0
Conley Group,700.0
Gilbert-Mahoney,889.0
Soto-Alexander,752.0
"Olson, Bishop and Chung",738.0
"Mckenzie, Bird and Mcguire",929.0
Trevino LLC,508.0
"Weber, Nolan and Macdonald",90.0
Madden-Mcneil,138.0
Bonilla and Sons,290.5
"Roach, Watson and Vance",823.0
"Morris, Liu and Moss",16.0
Cantu-Harmon,225.0
"Sparks, Beltran and Dickson",676.0
Mclean and Sons,689.0
Rasmussen-Kaiser,757.0
Shepherd Ltd,290.0
"Lowery, Rubio and Blevins",103.0
Spears and Sons,782.0
"Monroe, Morris and Day",135.0
Olson LLC,575.0
Blackwell-Maldonado,519.0
"Chavez, Black and Delacruz",42.0
"King, Stewart and Bowman",184.0
"Grimes, Ray and Wilcox",912.0
"Dorsey, Gentry and Hughes",226.0
Gilmore-Lozano,388.0
Parks LLC,924.0
Ware-Baird,628.0
Obrien LLC,140.0
"Jacobs, Phelps and Dorsey",201.0
Fox-Lyons,217.0
"Moses, Bautista and Rhodes",620.0
Esparza-Banks,22.0
"Sawyer, Galvan and Combs",10.0
Snyder-Martinez,709.0
"Gordon, Adkins and Wade",365.0
Sanford-Moyer,426.0
Kennedy PLC,716.5
Bowman Inc,834.0
"Parsons, Roy and Li",437.0
Levy Group,110.0
Rivas-Heath,815.0
Mccann Inc,435.5
Mata Ltd,52.0
"Hood, Shaffer and Archer",774.0
"Proctor, Caldwell and Bond",234.0
"Silva, Jordan and Mccarthy",180.0
Keith LLC,760.5
Weaver and Sons,522.0
Foster-Travis,954.0
"Steele, Meza and Barr",106.0
"Kidd, Cannon and Wagner",336.0
Harrington-Douglas,958.0
"Velez, Wiley and Perkins",552.0
"Escobar, Moody and Rosales",184.0
"Walls, Chan and Cummings",576.0
Steele-Reed,344.0
Boyle-Patel,421.0
Aguilar and Sons,290.0
Stark-Nash,30.0
Kaiser Group,993.0
"Norris, Middleton and Ware",521.0
"Brady, Carroll and Hoffman",566.0
Mcneil PLC,468.0
Fox-Joyce,89.0
Pollard-Ramsey,487.0
Macdonald-Church,712.0
Walker-Walls,552.0
Watkins LLC,233.5
Baird Group,861.0
Monroe and Sons,385.0
"Young, Harvey and Hebert",536.0
"Malone, Whitaker and Munoz",373.0
Harmon Group,538.0
Carney-Erickson,122.0
"Boone, Cox and Morgan",528.0
Hester PLC,846.0
"Mcdonald, Carlson and Velez",585.0
Stevenson and Sons,9.0
Brewer-Travis,12.0
Wiley-Duke,551.0
Sanders-Sexton,358.0
Chandler-Conley,880.0
"Marquez, Gray and Rogers",870.0
"Logan, Pierce and Whitaker",981.0
Huffman-Hines,222.0
Marshall and Sons,480.0
Burns-Pruitt,608.0
"Maldonado, Molina and Marsh",404.0
Hart PLC,135.0
Hunt-Li,591.0
Cardenas-Edwards,744.0
"Avila, Greene and Holland",893.0
"Haney, Houston and Schroeder",153.0
Hines Group,484.0
"Moody, Mcclain and Bailey",162.0
Medina and Sons,847.0
Durham Ltd,161.0
Chen LLC,684.5
Terry Inc,364.0
Davidson-Vance,791.0
Bell-Cameron,676.0
Todd Ltd,626.0
"Chang, Petersen and Shaffer",605.0
Goodman LLC,641.0
"Valdez, Conner and Patel",879.0
Barajas-Malone,301.0
Meadows Ltd,781.0
Pennington-Stuart,229.0
"Winters, Beasley and Hays",897.0
Ingram Group,697.0
Cortez Inc,683.0
Jackson PLC,781.0
Good-Howe,933.0
"Tran, Douglas and Lin",713.0
Foley LLC,672.0
Cox-Rice,462.0
Mclaughlin LLC,570.0
Mcclure-Diaz,311.0
Davenport-Jacobson,2.0
Murray Inc,725.0
Ingram-Tyler,343.0
"Fuller, Yates and Holland",747.0
Rasmussen and Sons,975.0
Moran Inc,101.0
"Rivers, Herring and Nunez",854.0
"Larson, Martin and Schneider",669.0
Friedman Inc,687.0
Vaughan Inc,407.0
"Norman, Burns and Navarro",756.0
Marsh Ltd,16.0
"Marquez, Castillo and Whitney",418.0
Dunn-Proctor,745.0
Bentley-Ray,482.0
"Meza, Cummings and Galloway",367.0
Knapp LLC,852.0
Sims-Yates,661.0
Diaz LLC,175.0
Wong-Adams,269.0
"Stanton, Cuevas and Case",440.0
"Norman, Trevino and Prince",341.0
Lowe Ltd,520.0
Giles Inc,758.5
Neal-Pierce,920.0
Hawkins and Sons,101.0
Stuart Inc,180.0
King-York,483.0
"Mccullough, Stone and Davis",72.0
Shaffer Inc,225.0
"Valencia, Brown and Ramsey",83.0
Reyes-Stout,789.0
Brown and Sons,132.0
"Shields, Hart and Crosby",497.0
Parks-Hampton,484.0
Osborn Ltd,447.0
Short-Gonzalez,652.0
"Herman, Mckay and Petty",604.0
"Holder, Guzman and Mckay",359.0
Vargas-Mcpherson,137.0
Simpson-Mckenzie,122.0
"Holder, Stark and Montoya",749.0
Shepard-Shaw,820.0
"Stanley, Guerrero and Berger",173.0
"Maynard, Fletcher and Gregory",968.0
Shelton Ltd,690.0
"Hoover, Mckay and Downs",627.0
Pena Ltd,708.0
Robles Ltd,780.0
Garrison LLC,165.0
Lowe-Cowan,71.0
Moss and Sons,993.0
Callahan-Gomez,183.0
Clark Group,265.0
"Ali, Roberts and Singh",995.0
"Benjamin, Golden and Bean",470.0
"Hunter, Hensley and Sampson",812.0
"Blair, Wong and Roth",989.0
Howell Ltd,821.0
Perry-Bradley,139.0
Rasmussen Inc,234.5
"Wilkinson, Haynes and Camacho",575.0
"Collier, Mercer and Hanson",14.0
Chaney LLC,969.0
Bruce PLC,613.0
"Jones, Reed and Ayers",93.0
Sandoval-Gay,568.0
Newton-Combs,575.0
Leonard-Hurst,511.0
"Coffey, Villarreal and Lawson",221.0
"Monroe, Swanson and Cook",847.0
Savage-Wallace,289.0
"Walters, Bautista and Fitzgerald",396.0
Carson-Austin,898.0
Kelly-Brady,199.0
Frank LLC,49.0
Hodges and Sons,978.0
West Group,263.0
Wells-Gross,350.0
Mendez-Meyer,124.0
"Mcdaniel, Herman and Kane",969.0
Buck-Mckay,833.0
Brennan Ltd,264.0
"Bradshaw, Kaufman and York",266.0
Serrano-Sexton,385.0
"Erickson, Price and Singleton",36.0
Hurst Ltd,818.0
Key-Turner,465.0
Lawson-Mendez,330.0
May and Sons,508.0
Baird LLC,393.0
Houston-Blanchard,337.0
"May, Pearson and Greene",98.0
Dominguez-Washington,20.0
"Mooney, Bass and Fitzgerald",2.0
Petersen-Collier,11.0
Hubbard-Hogan,392.0
"Benitez, Koch and Mccann",535.0
Wilcox Inc,601.0
Small-Barton,892.0
Moyer Inc,436.0
Beck and Sons,473.0
Morton-Lozano,827.0
"Drake, May and Howard",401.0
"Lin, Koch and Davenport",430.0
Zimmerman-Rosales,264.0
Black-Atkins,927.0
"Mcmillan, Ramos and Stephens",372.0
"Mora, Mata and Stanley",553.0
"Estes, Griffin and Love",317.0
Stuart-Page,397.0
"Solis, Lopez and Berger",362.0
Archer-Church,466.0
Gamble-Burch,90.0
Harding Ltd,485.5
Horne-Rowe,616.0
"Ryan, Powers and Hayes",371.0
Berger PLC,512.0
Duarte Inc,536.3333333333334
Hayes-Deleon,281.0
"Wilkins, Franco and Hanson",704.0
Wolfe-Kirby,831.0
"Brady, Franklin and Sampson",685.0
"Ellison, Hudson and Munoz",354.0
Williams-Moyer,740.0
Mayo Group,847.0
Villegas-Zhang,48.0
"Mullins, King and Sanchez",7.0
Lang-Peters,697.0
Bruce-Barr,976.0
"Whitehead, Garcia and Miles",769.0
Moon Inc,550.5
"Daniel, Zuniga and Church",779.0
York Inc,645.0
Mooney-Proctor,821.0
Stout-Tran,375.0
"Beltran, Vasquez and Riley",392.0
"Hess, Johnston and Barnes",385.0
"Warren, Hodge and Bernard",256.0
Barnes-Gonzales,203.0
"Williamson, Soto and Kim",290.0
Grant LLC,385.0
Levine Inc,267.0
Vang-Glover,484.0
"Mckenzie, Chaney and Mccarthy",185.0
Bernard LLC,139.0
Chan-Nixon,800.0
"Torres, Cannon and Cherry",68.0
"Holland, Hensley and Cummings",106.0
Costa Ltd,74.0
Lynn Inc,303.0
"Barry, Ochoa and Vaughan",53.0
Wallace Ltd,667.0
"Townsend, Santos and Shepherd",283.0
Giles-Benton,32.0
"Quinn, Ray and Mckay",845.0
"Murray, Duran and Werner",155.0
Love-Hunt,387.0
"Li, Silva and Dean",585.0
Mckenzie-Tran,840.0
Atkinson-Simmons,846.0
Meza-Fuller,869.0
Sweeney Group,423.0
Torres Inc,511.0
Dawson LLC,735.0
Lutz and Sons,494.5
Figueroa and Sons,918.0
Benton and Sons,893.0
Leon-Lawson,345.0
Bonilla-Shelton,934.0
"Elliott, Salas and Luna",434.0
Reeves LLC,866.0
Adkins-Tucker,590.0
Hart Inc,394.3333333333333
Booth-Brennan,846.0
Stanley-Goodman,292.0
"Hutchinson, Adkins and Ponce",530.0
"Pitts, Yang and Trujillo",418.0
Sutton-Henderson,183.0
"Gay, Norris and Chambers",482.0
Stephens-Carr,652.0
"Solis, Pena and Robbins",102.0
Hurst PLC,477.0
"David, Chambers and Patterson",219.0
French and Sons,636.0
Dean Inc,865.0
Underwood-Garner,103.0
"Lindsey, Bond and Finley",913.0
Rose Ltd,529.5
Lamb Inc,675.5
"Hanna, Hodges and Lester",1.0
Berger Ltd,705.5
Bridges Ltd,445.5
"Oneill, Alexander and Moran",536.0
Alvarez Inc,576.0
Bender-Brandt,509.0
Santiago Ltd,708.0
Richardson-Wade,121.0
Spence LLC,693.0
Mays-Hahn,194.0
Phillips-Bentley,573.0
"Livingston, Crane and Hunter",359.0
Montgomery-Sheppard,639.0
Callahan PLC,960.5
Medina-Woodward,891.0
Wolfe-Daugherty,324.0
Sweeney Ltd,518.5
Ferguson-Scott,798.0
"Chaney, Callahan and Palmer",578.0
"Peterson, Hicks and Sanford",36.0
"Salazar, Norton and Ramsey",842.0
Simpson-Torres,272.0
Short-Manning,15.0
Porter-Owens,992.0
"Graves, Owens and Marsh",290.0
Rivas-Bentley,265.0
Duffy and Sons,603.0
Palmer-Frost,888.0
Chase-Rowland,997.0
"Ramsey, Sweeney and Mayo",522.0
Schroeder and Sons,578.0
Hodges-Conway,724.0
"Golden, Stevens and Ritter",360.0
Whitehead LLC,614.5
Cook-Suarez,238.0
Sparks-Anthony,649.0
"Wells, Monroe and Villanueva",632.0
Holloway-Rubio,873.0
Patterson-Reid,289.0
"Coffey, Humphrey and Mccall",296.0
Barajas-Powell,443.0
"Owen, Briggs and Beltran",386.0
Norton PLC,343.0
Dickson-Jacobson,937.0
Davidson-Kennedy,310.0
Mercer PLC,474.0
Graves LLC,630.5
Jacobson-Holden,132.0
Gregory Ltd,601.0
"Munoz, Brown and Elliott",262.0
Stone-Dudley,475.0
"Coleman, Bauer and Landry",56.0
"Anderson, Landry and Gross",761.0
"Clayton, Hopkins and Lee",13.0
Gonzalez and Sons,694.5
"Rodgers, Cross and Mcmillan",358.0
Mahoney-Raymond,258.0
Kidd Group,610.5
"Barajas, Moran and English",51.0
"Lawson, Flowers and Jimenez",429.0
"Weiss, Ponce and Wilkerson",890.0
Dixon Group,121.5
Phillips Ltd,521.0
"Vega, Barker and Cantrell",854.0
Holden-Landry,161.0
Fischer Group,212.5
Sandoval and Sons,572.0
"Erickson, Blackburn and Strong",612.0
"Hancock, Greer and King",42.0
Wade-Adams,937.0
Robinson PLC,807.0
"Shea, Smith and Blankenship",242.0
Hancock-Johns,393.0
"Andrade, Bender and Reeves",427.0
Hebert-Moore,353.0
Waters LLC,929.0
"Rosario, Mosley and Santos",409.0
Clay-Gillespie,784.0
Gates and Sons,893.0
Nash LLC,397.0
Lopez-Ferrell,151.0
Briggs-Boyle,368.0
Carter-Mcclain,326.0
Potter-Gill,108.0
Scott-Meadows,943.0
Bridges-Dudley,764.0
"Acevedo, Hartman and Pena",136.0
"Lucas, Cook and Roy",99.0
Lamb PLC,259.0
"Cooper, Mccullough and Gomez",729.0
"Weber, Mclaughlin and Casey",972.0
Savage-Rhodes,885.0
Reed Group,452.3333333333333
"Thornton, Ochoa and Rosario",880.0
Hammond-Buchanan,271.0
"Hardin, Moody and Malone",280.0
"Wilkins, Hunt and Simon",955.0
Mercado-Johns,437.0
Rangel-Garrett,866.0
"Haley, Crosby and Hooper",382.0
Mcguire-Davis,109.0
"Forbes, Lutz and Avery",100.0
Oliver Ltd,769.0
Proctor and Sons,101.0
Sellers-Walton,728.0
Mcintyre-Vasquez,212.0
Cox-Wilkins,26.0
Huerta-Ross,735.0
Casey-Wiley,248.0
Miles-Estes,179.0
"Maldonado, Winters and Wu",535.0
Oconnor Group,764.0
Soto-Randolph,545.0
Lyons-Shepherd,63.0
"Lara, Gonzalez and Hobbs",635.0
Bailey LLC,550.0
Franklin-Mcguire,425.0
Shea Ltd,549.0
"Gardner, Rodriguez and Singh",460.0
Garner-Fowler,25.0
"Wilson, Pineda and Henry",620.0
"Potter, Stanton and Benitez",42.0
Wong LLC,480.5
Mathis-Frazier,990.0
"Byrd, Hester and Cooper",69.0
Gomez-Hess,192.0
Wilkinson-Eaton,423.0
Bean and Sons,742.0
"Frost, Bray and Orozco",790.0
"Kline, Abbott and Wyatt",548.0
"Benitez, Mckinney and Hunt",585.0
Blankenship-Stephens,980.0
Skinner-Fischer,563.0
"Watts, Simmons and Richard",951.0
"Key, Kelley and Huff",716.0
Downs-Cunningham,927.0
"Hayden, Petersen and Horn",696.0
"Charles, Clarke and Hooper",29.0
Rosario Group,717.0
Dickerson and Sons,311.0
Roy-Bates,715.0
Lawson and Sons,999.0
Payne PLC,324.0
"Villegas, Bowman and Lamb",458.0
"Pineda, Mcintosh and Price",521.0
Cooke-Vaughn,405.0
Olson Ltd,563.0
Mathews Group,518.5
Watts-Turner,771.0
Barry-Alvarado,322.0
Daniels-Hodge,773.0
Mueller-Combs,819.0
Ayala-Gardner,408.0
Dawson-Hooper,931.0
Kline Ltd,639.0
"Jimenez, Craig and Miles",37.0
"Mullen, Kramer and Branch",317.0
Garner-Lynch,776.0
Russo-Brock,67.0
Gilbert-Chapman,956.0
"Molina, Higgins and Shaw",370.0
Martinez LLC,152.0
Huffman-Beard,62.0
Stephens LLC,88.0
"Schultz, Riddle and Powell",609.0
Fleming Group,282.0
"Cordova, Zamora and Matthews",429.0
"Ingram, Walton and Moss",87.0
"Day, Sherman and Baxter",13.0
Tate Inc,734.0
"Harris, Cook and Riddle",314.0
Randall and Sons,217.5
"Calhoun, Barrera and Grant",919.0
Dixon-Rios,344.0
"Farley, Nichols and Villa",505.0
Strickland Group,241.0
Benjamin LLC,420.0
Rollins Group,126.0
"Cameron, Andrews and Reeves",56.0
Santiago PLC,107.5
"Stevenson, Pearson and Washington",738.0
Paul Group,444.5
"Rice, Keller and Buck",486.0
Herrera PLC,585.0
Acevedo-Atkinson,369.0
Hendrix-Frye,829.0
Horton-Valencia,693.0
"Cowan, Fowler and Gardner",741.0
"Love, Conrad and Boyd",243.0
Prince-Madden,819.0
Tate-Fields,944.0
"Roberts, Richmond and Campbell",631.0
"Thornton, Steele and Callahan",981.0
Fuentes-Church,225.0
Livingston-Richmond,658.0
"Haney, Pineda and Nichols",684.0
Giles Group,434.0
Nash Ltd,589.0
"Robinson, Contreras and Cowan",600.0
Burnett Ltd,91.0
"Bartlett, Trevino and Moran",382.0
Franco-Dudley,435.0
"Hayden, Rice and Aguilar",82.0
Walton Group,374.5
Underwood PLC,663.0
"Murray, Rice and Ferrell",519.0
Bean-Hale,969.0
"Best, Tate and Cross",933.0
Warren LLC,679.0
"Clayton, Porter and Higgins",496.0
"Lowe, Compton and Lowery",634.0
"Gaines, Harmon and Ho",279.0
"Lloyd, Hoover and Wilson",238.0
Carney Ltd,104.0
Fuller-Pineda,293.0
Olson-French,400.0
Sparks-Watts,125.0
"Nelson, Macdonald and Garza",741.0
Acevedo and Sons,602.0
Hebert-Sanchez,233.0
Acevedo Ltd,231.0
"Love, Campos and Barnett",868.0
Lloyd-Howell,731.0
Simpson Ltd,289.0
"Hester, Hodges and Rogers",787.0
Navarro Ltd,330.5
Harrell and Sons,322.5
Marks Inc,758.0
Short-Drake,734.0
Kelly-Pruitt,282.0
"Bennett, Herman and Gonzalez",848.0
Hughes-Beard,952.0
Silva Group,976.0
Aguirre-Eaton,864.0
"Saunders, Fowler and Maxwell",647.0
Pugh-Hale,213.0
"Nash, Weber and Ware",574.0
"Rocha, Mercado and Bowers",862.0
Mclean-House,521.0
"Nash, Hancock and Delgado",933.0
"Leonard, Christian and Hunt",850.0
Hughes-Choi,860.0
"Franklin, Day and Clayton",933.0
Riggs-Cohen,191.0
"Bender, Hess and Mccormick",186.0
Ellison-Ball,679.0
"Richardson, Keller and Mcfarland",102.0
"Hardin, Bender and Johnston",262.0
"Fry, Johns and Wilkerson",361.0
"Collier, Mcclure and Becker",464.0
Chandler-Kim,276.0
"Price, Ramirez and Vance",45.0
Cochran LLC,117.0
Shepard Inc,603.3333333333334
Carpenter LLC,822.6666666666666
"Blanchard, Mora and Hampton",303.0
Serrano-Lyons,457.0
Mathis-Johnson,779.0
David-Baldwin,13.0
Winters-Werner,414.0
Flowers LLC,836.0
"Sweeney, Cervantes and Christian",790.0
Nelson PLC,454.0
Fernandez-Potter,699.0
Maynard PLC,7.0
Hebert-Herman,548.0
"Baker, Barnes and Anthony",994.0
Gamble LLC,489.0
"Schwartz, Knight and Odom",416.0
Meadows-Reyes,517.0
Peck-Mcknight,711.0
Nicholson-Walters,665.0
Roberson-Stephens,121.0
"Meza, Allison and Manning",743.0
Foley-Anderson,563.0
"Lutz, Salinas and Hoffman",515.0
Huang-Mason,180.0
"Johns, Fritz and Madden",269.0
Munoz-Randall,913.0
Benson Group,998.0
Yoder PLC,943.0
"Vasquez, Harmon and Kaiser",1.0
Gillespie Group,367.0
Hernandez-Brennan,397.0
"Robinson, Howell and English",573.0
Barr and Sons,558.0
Randolph and Sons,166.0
"Beck, Grimes and Browning",428.0
"Lambert, Holmes and Henderson",320.0
Faulkner and Sons,819.0
"Barrera, Archer and Mcgee",363.0
Gallegos-Lopez,419.0
Mendoza-Henderson,729.0
Mcdonald-Roth,787.0
Lam Inc,582.5
Galvan Group,284.0
Moses-Schneider,116.0
"Odom, Gardner and Bradshaw",916.0
Reyes LLC,531.0
Barr-Mckinney,754.0
Mullen-Chapman,423.0
Taylor-Lucero,658.0
"Carpenter, Wyatt and Boone",780.0
Arellano-Peck,828.0
Johns PLC,404.0
Mcmahon-Murray,329.0
Mccall Inc,865.0
"Velez, Simmons and Robbins",759.0
Potter Ltd,601.0
"Mullins, Beltran and Castaneda",595.0
Lucero LLC,178.0
Davidson-Hayes,903.0
"Cross, Cisneros and Beasley",499.0
"Kramer, Levine and Jacobs",58.0
Jimenez-Melendez,11.0
"Garcia, Farmer and Sims",133.0
"Braun, Lee and Estrada",299.0
"Ellis, Mcclain and Maxwell",162.0
"Shaw, Hancock and Powers",482.0
"Walsh, Morris and Singh",566.0
Swanson-Heath,7.0
Wilkins-Schmidt,295.0
Moyer-Christensen,621.0
Craig-Whitney,370.0
Crawford Inc,502.0
Benson Ltd,809.0
Moore Inc,315.0
Espinoza-Monroe,370.0
Flores-Kane,546.0
Hunt-Griffin,350.0
Alvarado and Sons,69.0
Reid Ltd,794.0
Eaton and Sons,596.0
"Avery, Livingston and Meyer",332.0
Wolfe Inc,363.5
Michael Group,633.0
Hurley-Malone,322.0
"Little, Blackburn and Martinez",313.0
Larson-Harrison,994.0
"Heath, Lamb and Mata",940.0
"Steele, Norton and Pollard",477.0
Luna Inc,535.0
Hartman-Weiss,903.0
Roman-Miranda,792.0
"Montgomery, Lloyd and Pruitt",531.0
"Farmer, Barrera and Peterson",752.0
Leblanc-Bryan,924.0
Gross-Browning,40.0
"Mcintyre, Mahoney and Reyes",443.0
"Rios, Burch and Bond",73.0
"Camacho, Huerta and Stein",52.0
Tucker-Little,197.0
"Carroll, Ochoa and Fleming",575.0
Bernard Group,435.0
"Bentley, Howell and Holmes",82.0
Sanchez PLC,579.0
"Pierce, Price and Stokes",756.0
Salazar-Adams,625.0
Herman-Kirk,766.0
"Ryan, Wiley and Horton",780.0
Owens-Kemp,483.0
"Melendez, Duarte and Nelson",485.0
Porter-Fuentes,662.0
Wilkerson PLC,229.0
Moore-Farrell,594.0
Noble Ltd,574.0
Villarreal Inc,739.0
Sloan-Zimmerman,435.0
"Strickland, Moore and Green",79.0
"Knight, Wilson and Herman",523.0
"Blackwell, Petty and Mcclain",147.0
"Chen, Huang and Patel",384.0
Allen PLC,840.5
"Schwartz, Mann and Houston",379.0
Hammond-Macias,777.0
Vang-Powell,710.0
Strickland PLC,474.0
Newman-Rocha,802.0
Weeks PLC,182.0
"Rose, Snow and Walton",181.0
"Gould, Potter and Greene",548.0
Mays-Briggs,929.0
Conner PLC,718.0
"Ryan, Foley and Chan",476.0
"Ortega, Wiley and Brock",848.0
Richards LLC,345.0
Everett Inc,245.0
Curtis LLC,556.0
"Melton, Maldonado and Hudson",537.0
"Bates, Liu and Strong",836.0
"Hays, Cobb and Stout",704.0
Rocha and Sons,551.0
Vance-Rogers,755.0
"Mcclure, Ray and Briggs",550.0
"Schroeder, Marquez and Gray",315.0
Moreno-Yates,331.0
Wall PLC,828.0
Strickland Ltd,2.0
Nunez-Riddle,738.0
"Zamora, Love and Costa",444.0
"Burnett, Rojas and Guerra",212.0
Branch Inc,276.0
Bowman-Mcclure,931.0
"Gay, Holloway and Cunningham",99.0
Camacho LLC,950.0
Taylor-Richard,415.0
"Calhoun, Dunn and Aguilar",961.0
Andrews-Donaldson,16.0
"Reese, Travis and Mann",202.0
Lindsey PLC,521.0
Evans PLC,834.5
"Hudson, Hodges and Compton",325.0
"Bright, Burgess and Trevino",778.0
Simmons Inc,862.0
Travis-Herring,993.0
Madden-Barr,594.0
"Holt, Estrada and Bennett",660.0
Cervantes-Reese,846.0
"Cervantes, Garcia and Nolan",662.0
"Hayes, Dickson and Kirby",234.0
Gibbs-Mitchell,601.0
"Owen, Mora and Armstrong",628.0
"Evans, Ball and Jones",828.0
Charles-Young,488.0
Meyers-Heath,807.0
Higgins Ltd,289.5
Colon PLC,697.0
Shannon-Gallegos,553.0
Shaffer Group,94.0
Ali-Atkinson,866.0
"Day, Shelton and Crosby",456.0
Simon Group,809.5
Winters-Parsons,948.0
Blankenship-Phelps,138.0
Cantrell Inc,461.0
Mcbride LLC,576.0
"Johnson, Duffy and Harvey",461.0
Wilkinson-Wilkerson,360.0
Elliott-Atkins,600.0
Proctor-Zavala,114.0
"Arellano, Oliver and Rowe",978.0
Mcdowell Group,757.0
Knapp Ltd,108.0
Miller Ltd,282.0
"Shepard, Dyer and Conrad",901.0
Townsend Group,131.0
"Zimmerman, Thompson and Watkins",348.0
Burns-Joseph,693.0
"Beard, Lozano and Sawyer",739.0
Whitehead-Hill,691.0
Mckinney-Williamson,626.0
Espinoza-Schwartz,742.0
Munoz-Ritter,272.0
"Padilla, Barton and Glover",720.0
"Chang, Campos and Nielsen",392.0
Solis-Middleton,303.0
Short-Pena,951.0
"Mccall, Merritt and Dunlap",171.0
Mendoza-Skinner,928.0
Randolph-Carey,850.0
"Cox, Everett and Beasley",741.0
Kane Group,562.0
"Neal, Cannon and Wyatt",895.0
Hamilton-Gaines,520.0
"Carney, Trujillo and Andrade",427.0
"Calderon, Berg and Carey",716.0
Mercado-Reyes,4.0
Maldonado Inc,550.0
Burns-Velasquez,185.0
"Ochoa, Rivers and Mclaughlin",192.0
Wade-Doyle,275.0
Fox Group,402.0
Rush Ltd,416.5
Johnston Ltd,235.0
Kerr Inc,531.0
Stone Inc,665.0
"Rivas, Huffman and Macias",24.0
"Merritt, Preston and Dorsey",985.0
Steele Ltd,245.5
Cooper-Peters,359.0
Trujillo-Swanson,131.0
Higgins-Coleman,553.0
"Mercer, Mendoza and Lozano",643.0
Kelley Group,449.0
Choi-Chen,240.0
"Wise, Fisher and Brewer",9.0
Williams-Arellano,241.0
Cherry and Sons,703.0
Blair-Griffith,879.0
Dixon LLC,202.0
Levine-Gill,673.0
"Bradshaw, Mccall and Snyder",326.0
Morrow PLC,532.0
Owen-Acosta,63.0
Hancock LLC,584.0
"Kramer, Lozano and Wiley",792.0
"Frost, Weiss and Steele",847.0
Reeves and Sons,838.0
Rogers-Holden,329.0
James and Sons,405.0
"Saunders, Mejia and Ponce",866.0
Terrell-Martin,56.0
"Perez, Houston and Curtis",291.0
Garrison-Stein,641.0
"Wade, Potter and Keller",970.0
"Ramos, Leonard and Pope",730.0
Avery-Norris,298.0
Wiggins-Atkins,155.0
"Roth, Hammond and Robles",925.0
"Flynn, Todd and Stokes",268.0
"Francis, Buchanan and Finley",890.0
Sanders-Cain,326.0
"Spears, Livingston and Oconnell",687.0
"Potts, Turner and Herman",502.0
Wang and Sons,910.0
Terrell-Luna,920.0
"Shaw, Simon and Richards",116.0
"Dunn, Lawson and Austin",286.0
Gaines Inc,945.0
Barrera Group,99.0
Fleming-Vasquez,334.0
Hartman-Holland,512.0
Melendez LLC,299.0
"French, Watkins and Meza",59.0
"Robinson, Macdonald and Nguyen",394.0
Ball-Wilcox,249.0
Zuniga-Yates,32.0
Phillips-Rangel,815.0
Garcia Ltd,312.0
Villarreal and Sons,531.0
Norman and Sons,878.0
"Stein, Boyer and Frazier",604.0
Robertson LLC,346.0
Beard-Stafford,95.0
Zhang-Goodman,625.0
Pollard-Booker,773.0
"Mooney, Sexton and Mcneil",572.0
Lawrence Inc,205.0
Armstrong-Simon,641.0
Pena-Washington,901.0
Padilla-Glass,719.0
Evans and Sons,347.0
"Ferguson, Avery and Riley",78.0
"Irwin, Owens and Zimmerman",73.0
